"FACULTY_NAME","FACULTY","COURSETITLE","SUBJECT","COURSE_NUMBER","CREDIT","COURSE_TITLE","SECTION","INSTRUCTOR_NAME"
"Faculty of Liberal Arts and Professional Studies","AP","From the Defeat of Fascism to the Fall of Communis","HIST","3395","6","From Fascism Through Communism: Europe","A","Yunshi , Liang"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Canadian Business Law and Ethics","ADMS","3060","3","Canadian Law and Ethics","A","Abilash , Sathyakumar"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Canadian Business Law and Ethics","ADMS","3060","3","Canadian Law and Ethics","A","Diana , Damiani"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Editing","PRWR","2006","3","Fundamentals of Editing","A","Matthew , Bucemi"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Editing","PRWR","2006","3","Fundamentals of Editing","M","Kristen , Chew"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Editing","PRWR","2006","3","Fundamentals of Editing","N","Kristen , Chew"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Editing for Non-majors","WRIT","3740","3","Fundamentals of Editing for Non-majors","A","Paul , McLaughlin"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Emergency Management","DEMS","2700","3","Fundamentals of Emergency Management","A","Mike , O'Brien"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Emergency Management","DEMS","2700","3","Fundamentals of Emergency Management","M","Mike , O'Brien"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Learning: Essentials for a Success","FND","1000","3","Fundamentals of Learning","A","Janet , Melo-Thaiss"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Learning: Essentials for a Success","FND","1000","3","Fundamentals of Learning","A","Karen , Ruddy"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Learning: Essentials for a Success","FND","1000","3","Fundamentals of Learning","A","Maxine , Wood"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Learning: Essentials for a Success","FND","1000","3","Fundamentals of Learning","A","Snezhana S. , Harizanova"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Learning: Essentials for a Success","FND","1000","3","Fundamentals of Learning","M","Janet , Melo-Thaiss"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Learning: Essentials for a Success","FND","1000","3","Fundamentals of Learning","M","Karen , Ruddy"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Learning: Essentials for a Success","FND","1000","3","Fundamentals of Learning","M","Maxine , Wood"
"Faculty of Liberal Arts and Professional Studies","AP","Fundamentals of Learning: Essentials for a Success","FND","1000","3","Fundamentals of Learning","M","Snezhana S. , Harizanova"
"Faculty of Liberal Arts and Professional Studies","AP","Game Theory in Economics","ECON","4130","3","Game Theory in Economics","A","Kin Chung , Lo"
"Faculty of Liberal Arts and Professional Studies","AP","Game Theory in Economics","ECON","4130","3","Game Theory in Economics","M","Selcuk , Ozyurt"
"Faculty of Liberal Arts and Professional Studies","AP","Gay Male Literature","EN","4192","6","Gay Male Literature","A","Thomas L. , Loebel"
"Faculty of Liberal Arts and Professional Studies","AP","Gender Issues in Management","ADMS","3120","3","Gender Issues in Management","A","Kelly , Thomson"
"Faculty of Liberal Arts and Professional Studies","AP","Gender Issues in Management","ADMS","3120","3","Gender Issues in Management","A","Taralyn , Parr"
"Faculty of Liberal Arts and Professional Studies","AP","Gender Issues in Management","ADMS","3120","3","Gender Issues in Management","B","Taralyn , Parr"
"Faculty of Liberal Arts and Professional Studies","AP","Gender Issues in Management","ADMS","3120","3","Gender Issues in Management","M","Taralyn , Parr"
"Faculty of Liberal Arts and Professional Studies","AP","Gender Issues in Management","ADMS","3120","3","Gender Issues in Management","N","Taralyn , Parr"
"Faculty of Liberal Arts and Professional Studies","AP","Gender Studies","EN","2010","6","Gender Studies","A","Terry , Goldie"
"Faculty of Liberal Arts and Professional Studies","AP","Gender Studies","EN","2010","6","Gender Studies","A","Tess , Hole"
"Faculty of Liberal Arts and Professional Studies","AP","Gender Studies","EN","2010","6","Gender Studies","A","Tita , Kyrtsakas"
"Faculty of Liberal Arts and Professional Studies","AP","Gender Studies I","EN","2011","3","Gender Studies I","A","Terry , Goldie"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and Crime","SOSC","3663","3","Gender and Crime","M","Andrea , Anderson"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and Crime","SOSC","3663","3","Gender and Crime","M","Sonia , D'Angelo"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and Crime","SOSC","3663","3","Gender and Crime","M","Vanessa , Bragagnolo"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and Current Policy Issues","POLS","4125","3","Gender and Current Policy Issues","M","Ann V , Porter"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and Sexuality in Modern India","HIST","4795","6","Gender and Sexuality in Modern India","A","Rukmini , Barua"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Ani , Yedigaryan"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Aseel , Ibrahim"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Asma'a , Jisri"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Deepa , Nagari"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Erika , Leon Angulo"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Hatice , Oney"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Heather , Simmons"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Jen , Katshunga"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Jung Jin , Lee"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Katelyn , Barker"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Kenya , Thompson"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Kutay , Kutlu"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Lucely , Ginani Bordon"
"Faculty of Liberal Arts and Professional Studies","AP","Gender and the Law","SOSC","1350","9","Gender and the Law","B","Tyler , Totten"
"Faculty of Liberal Arts and Professional Studies","AP","Gender-Responsive and Participatory Budgeting: Can","POLS","4296","3","Gender and Participatory Budgeting","A","Isabella C. , Bakker"
"Faculty of Liberal Arts and Professional Studies","AP","Gender. Race. Detention and Internment","GWST","3571","6","Gender. Race. Detention and Internment","M","Zoe G, Newman"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","Amarachi , Chukwu"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","Ambreen , Farman"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","Andre , Sales"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","Elion , Campos"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","Hassan , Sesay"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","Hilary , Thurston"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","Michelle , Charette"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","Nickay , Palmer"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","Nordiah , Newell"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","Sean , Ferkul"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","Timothy , McCauley"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","A","William , Gray"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Adam , Alimi"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Bilal , Zahoor"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Charity , Mwebaze"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Dana , Seif"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Didar , Shwan"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Emily , Follett-Campbell"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Emma , Posca"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Erin Ryann , Flanagan"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Eva , Darboh"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Faezeh , Esmaeili"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Marion , Trejo Alvarez"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Natasha Sofia , Martinez"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Rachna , Dewan"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Theodore , Torry"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Therese , Blanco"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Timothy , McCauley"
"Faculty of Liberal Arts and Professional Studies","AP","Gendered Encounters","HREQ","1920","6","Gendered Encounters","M","Yazan , Al Horoub"
"Faculty of Liberal Arts and Professional Studies","AP","Genealogies of Feminist Theorizing","GWST","3555","6","Genealogies of Feminist Theorizing","A","Eva C , Karpinski"
"Faculty of Liberal Arts and Professional Studies","AP","Genealogies of Feminist Theorizing","GWST","3555","6","Genealogies of Feminist Theorizing","A","Nadia , Hasan"
"Faculty of Liberal Arts and Professional Studies","AP","Genre Fiction Workshop","CWR","3612","3","Genre Fiction Workshop","M","Jesse , Ruddock"
"Faculty of Liberal Arts and Professional Studies","AP","Genre for Professional Writers","PRWR","2003","3","Genre for Professional Writers","A","Andrew , Ferley"
"Faculty of Liberal Arts and Professional Studies","AP","Genre for Professional Writers","PRWR","2003","3","Genre for Professional Writers","A","John A , Spencer"
"Faculty of Liberal Arts and Professional Studies","AP","Global Approaches to Internet and Digital Crime","SOSC","4665","6","Internet and Digital Crime","A","Natasha , Tusikov"
"Faculty of Liberal Arts and Professional Studies","AP","Global Capitalism. Culture. and Conflict","ANTH","2100","6","Global Capitalism. Culture. and Conflict","A","Antonio , Sorge"
"Faculty of Liberal Arts and Professional Studies","AP","Global Conflict and Security I","POLS","3200","3","Global Conflict and Security I","M","Gerald , Bareebe"
"Faculty of Liberal Arts and Professional Studies","AP","Global Cultures of Children and Young People","CCY","2999","6","Global Child & Youth Cultures","A","Esmaeel , Sharafadin Abof"
"Faculty of Liberal Arts and Professional Studies","AP","Global Cultures of Children and Young People","CCY","2999","6","Global Child & Youth Cultures","A","Kael KC , Reid"
"Faculty of Liberal Arts and Professional Studies","AP","Global Cultures of Children and Young People","CCY","2999","6","Global Child & Youth Cultures","A","Lisa , Smith"
"Faculty of Liberal Arts and Professional Studies","AP","Global Cultures of Children and Young People","CCY","2999","6","Global Child & Youth Cultures","A","Manchari , Paranthahan"
"Faculty of Liberal Arts and Professional Studies","AP","Global Cultures of Children and Young People","CCY","2999","6","Global Child & Youth Cultures","A","Veronica , Lockyer"
"Faculty of Liberal Arts and Professional Studies","AP","Global Cultures of Children and Young People","CCY","2999","6","Global Child & Youth Cultures","A","Vindra , Moonilal"
"Faculty of Liberal Arts and Professional Studies","AP","Global Governance","POLS","4215","3","Global Governance","A","Nicola C C, Short"
"Faculty of Liberal Arts and Professional Studies","AP","Global Governance & Politics in Comparative Perspe","POLS","4440","3","Global Governance & Politics","A","Gregory Thomas , Chin"
"Faculty of Liberal Arts and Professional Studies","AP","Global Indigenous Histories","HIST","2900","6","Global Indigenous Histories","A","Carolyn , Podruchny"
"Faculty of Liberal Arts and Professional Studies","AP","Global Indigenous Histories","HIST","2900","6","Global Indigenous Histories","A","Graham , Lloyd"
"Faculty of Liberal Arts and Professional Studies","AP","Global Indigenous Histories","HIST","2900","6","Global Indigenous Histories","A","Luah , Tomas"
"Faculty of Liberal Arts and Professional Studies","AP","Global Living Wage Movements","SOSC","4260","3","Global Living Wage Movements","A","Rawan , Abdelbaki"
"Faculty of Liberal Arts and Professional Studies","AP","Global Political Economy I: Theory and Approaches","POLS","3270","3","Global Political Economy I","A","Hannes P , Lacher"
"Faculty of Liberal Arts and Professional Studies","AP","Global Political Economy II: Issues and Problems S","POLS","3275","3","Global Political Economy II","M","Hannes P , Lacher"
"Faculty of Liberal Arts and Professional Studies","AP","Global Political Economy and the Making of World O","POLS","4287","3","Global Political Economy and World Order","A","Stephen R , Gill"
"Faculty of Liberal Arts and Professional Studies","AP","Global Political Studies Honours Colloquium","GLBL","4000","6","GPS Colloquium","A","Anna M , Agathangelou"
